danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.653,0.472,2,-14.797,1,0.0353,0.0554,7.69e-5,0.397,0.448,102.558,audio_features,5A7eooPKJHtr0UJmatjH4a,spotify:track:5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/tracks/5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/audio-analysis/5A7eooPKJHtr0UJmatjH4a,74411,4
0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,audio_features,0vFOzaXqZHahrZp6enQwQb,spotify:track:0vFOzaXqZHahrZp6enQwQb,https://api.spotify.com/v1/tracks/0vFOzaXqZHahrZp6enQwQb,https://api.spotify.com/v1/audio-analysis/0vFOzaXqZHahrZp6enQwQb,382834,1
0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,audio_features,7yq4Qj7cqayVTp3FF9CWbm,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,4
0.694,0.331,9,-13,1,0.0284,0.806,0.00235,0.707,0.458,79.055,audio_features,3UqHlIBI771FNCiLY5MKrp,spotify:track:3UqHlIBI771FNCiLY5MKrp,https://api.spotify.com/v1/tracks/3UqHlIBI771FNCiLY5MKrp,https://api.spotify.com/v1/audio-analysis/3UqHlIBI771FNCiLY5MKrp,280000,4
0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,audio_features,6zC0mpGYwbNTpk9SKwh08f,spotify:track:6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/tracks/6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/audio-analysis/6zC0mpGYwbNTpk9SKwh08f,225027,4
0.755,0.638,5,-7.54,1,0.0557,0.178,0,0.739,0.852,121.282,audio_features,4D9uQHmo0HA8yRtU7NuFAz,spotify:track:4D9uQHmo0HA8yRtU7NuFAz,https://api.spotify.com/v1/tracks/4D9uQHmo0HA8yRtU7NuFAz,https://api.spotify.com/v1/audio-analysis/4D9uQHmo0HA8yRtU7NuFAz,152613,4
0.559,0.524,2,-11.64,0,0.0462,0.318,9.4e-4,0.933,0.652,93.85,audio_features,5phbwzg5d2MqNAoc0435Zu,spotify:track:5phbwzg5d2MqNAoc0435Zu,https://api.spotify.com/v1/tracks/5phbwzg5d2MqNAoc0435Zu,https://api.spotify.com/v1/audio-analysis/5phbwzg5d2MqNAoc0435Zu,289027,4
0.392,0.128,4,-11.724,1,0.0334,0.892,1.27e-4,0.106,0.214,130.596,audio_features,37uKt0zuvQoULb9mnwRTHH,spotify:track:37uKt0zuvQoULb9mnwRTHH,https://api.spotify.com/v1/tracks/37uKt0zuvQoULb9mnwRTHH,https://api.spotify.com/v1/audio-analysis/37uKt0zuvQoULb9mnwRTHH,230368,4
0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4
0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,audio_features,25yQPHgC35WNnnOUqFhgVR,spotify:track:25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/tracks/25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/audio-analysis/25yQPHgC35WNnnOUqFhgVR,208467,1
0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-5,0.305,0.813,137.831,audio_features,5GjPQ0eI7AgmOnADn1EO6Q,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q,126533,4
0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,audio_features,389QX9Q1eUOEZ19vtzzI9O,spotify:track:389QX9Q1eUOEZ19vtzzI9O,https://api.spotify.com/v1/tracks/389QX9Q1eUOEZ19vtzzI9O,https://api.spotify.com/v1/audio-analysis/389QX9Q1eUOEZ19vtzzI9O,285000,4
0.613,0.0457,0,-26.398,1,0.0337,0.937,0.642,0.0991,0.093,99.524,audio_features,7K6xMPtAjTuLPNlJMLf5bS,spotify:track:7K6xMPtAjTuLPNlJMLf5bS,https://api.spotify.com/v1/tracks/7K6xMPtAjTuLPNlJMLf5bS,https://api.spotify.com/v1/audio-analysis/7K6xMPtAjTuLPNlJMLf5bS,192146,4
0.578,0.15,7,-17.335,1,0.0334,0.243,0.00707,0.0825,0.12,135.22,audio_features,1GEOSS415bZVHNuXWlCT6b,spotify:track:1GEOSS415bZVHNuXWlCT6b,https://api.spotify.com/v1/tracks/1GEOSS415bZVHNuXWlCT6b,https://api.spotify.com/v1/audio-analysis/1GEOSS415bZVHNuXWlCT6b,334893,4
